node,number_of_visits
0226467716,0.0005688
0060958332,0.0005657
0449902927,0.0005648
0060927585,0.0005639
0385030096,0.0005623
0446673463,0.0005622
0931580439,0.0005585
0743456947,0.0005527
0684850028,0.0005508
0671015206,0.0005493
0226284182,0.0005469
0486287386,0.0005461
0805011943,0.000545
1561705365,0.0005422
0786883561,0.0005397
0345410025,0.0005383
0793136644,0.0005285
0671724002,0.0005282
0735200661,0.0005258
0802775985,0.0005232
1567181325,0.0005213
0933121288,0.0005172
159184021X,0.0005139
1570715882,0.0005117
1581150784,0.0005099
0735713308,0.0005087
0679755551,0.0005077
0385303122,0.0005067
0446673870,0.0005049
0500282293,0.0005036
006093574X,0.0005033
0553562835,0.0005028
0684856360,0.0005011
0887306136,0.0005008
0967089328,0.0004995
0060516070,0.0004964
0385499345,0.0004963
0743520696,0.0004959
0486290735,0.0004958
007140807X,0.0004948
0875421849,0.0004928
0252068920,0.0004891
0140442014,0.0004875
0140444211,0.0004874
0671727524,0.0004868
0887306187,0.000486
0471177504,0.0004844
0486419312,0.000484
0735201978,0.000483
0440147301,0.0004822
0787956678,0.0004811
0684849143,0.0004803
1578563682,0.0004797
0805011714,0.0004778
0887309992,0.0004776
0671733354,0.0004765
0553266462,0.0004734
0140282025,0.0004728
188516730X,0.00047
0688170366,0.0004694
0887309151,0.0004689
1587622084,0.0004687
0875423574,0.0004663
0471592242,0.0004643
007138703X,0.0004639
0887307280,0.0004634
0671746073,0.0004633
1559391766,0.0004612
0842359060,0.0004611
0887306292,0.0004608
0671316451,0.0004581
0787234796,0.0004573
1578518261,0.0004572
0553286749,0.0004557
0785274316,0.0004554
0446602744,0.000455
067179227X,0.0004543
0671891634,0.0004541
0684846349,0.000454
0743520718,0.0004523
0793168201,0.0004515
0671765914,0.0004452
087477845X,0.0004433
1585420212,0.000438
0738208175,0.0004376
1886284253,0.0004365
1565541464,0.0004353
074352506X,0.0004341
039472903X,0.000433
0385483961,0.0004327
002900151X,0.0004325
0793173655,0.0004317
0874774241,0.0004305
0874775043,0.0004297
1571740562,0.000429
1558747524,0.0004283
1578511445,0.0004274
0465067107,0.0004271
156205810X,0.0004265
1581152507,0.0004261
0060533226,0.000424
0471204013,0.0004239
1879505444,0.0004236
0912411481,0.0004227
1577312295,0.0004216
1580622240,0.0004205
0679757651,0.00042
0674194241,0.0004168
0553245767,0.0004152
1576832201,0.0004151
1879181584,0.0004151
0393310353,0.0004137
1571741038,0.0004137
1572242523,0.0004135
0809229773,0.000413
0310210089,0.0004095
1580626823,0.000409
0553371320,0.0004065
1577312406,0.0004063
039370095X,0.0004055
0517880857,0.0004048
0486295834,0.0004035
087584863X,0.000403
156138626X,0.0004025
0375713425,0.0004021
0786865954,0.0004014
1880032759,0.0004011
0831400447,0.0003999
0452270863,0.0003998
0446394599,0.0003995
0609806262,0.0003992
0452283833,0.0003988
1558503919,0.0003982
0671891049,0.0003976
0919345921,0.0003975
0740718584,0.0003972
0671708821,0.0003967
1551803542,0.0003966
1567183603,0.0003965
089486971X,0.0003963
0618249060,0.0003961
1577310462,0.0003953
0915556324,0.000395
188623017X,0.000395
0395906253,0.0003943
0967751705,0.0003938
074325001X,0.0003937
002864283X,0.0003931
0393318346,0.0003921
0967286247,0.0003918
0814471145,0.0003917
1576751996,0.000391
0887307043,0.0003901
1580622534,0.00039
0553371657,0.0003897
0345428897,0.0003896
0071412913,0.0003889
0553279726,0.0003878
0761519661,0.0003866
0553276999,0.0003863
0471353124,0.0003862
076111940X,0.0003849
0785271198,0.0003848
0738204633,0.0003845
0937611352,0.0003834
0688112730,0.0003827
0446678430,0.0003815
0071388591,0.0003811
0688103804,0.0003796
0880889187,0.0003783
0452281326,0.0003774
0449002829,0.000377
0393318486,0.0003757
0471357642,0.0003756
1400046831,0.0003748
0960170618,0.0003722
0385237847,0.0003719
0761101608,0.0003707
1578516870,0.0003686
0446676950,0.0003683
0786303158,0.000368
0830822763,0.0003678
0875847404,0.0003674
0310209307,0.0003664
0312083165,0.0003663
0062501976,0.0003662
0471189626,0.0003656
0060951605,0.000365
0316321001,0.0003647
039952827X,0.0003637
1577310993,0.0003627
0440145368,0.0003621
0312929870,0.000361
0874779731,0.0003608
0486411249,0.0003608
0735712026,0.0003606
096673839X,0.0003601
157851486X,0.00036
0814479928,0.00036
0671673254,0.0003596
0060652969,0.0003589
067162248X,0.0003588
0875163092,0.0003581
1855383446,0.0003579
0449219984,0.0003577
0195136306,0.0003575
1578515572,0.0003563
0140432078,0.0003561
1891279017,0.000356
0761110526,0.0003543
0140178244,0.0003533
0875847161,0.0003527
0452272815,0.0003517
1577310128,0.0003516
1582970912,0.0003515
0300088981,0.0003512
0743227905,0.0003511
0393310728,0.0003509
0684870681,0.0003497
0452283574,0.0003496
0671213326,0.0003492
1567184855,0.0003481
0310214785,0.0003479
0029019869,0.0003456
1577311868,0.0003434
0071412743,0.0003431
0060959371,0.0003425
0060934913,0.000342
0688172156,0.0003417
0399519904,0.0003417
047132339X,0.0003416
0793160278,0.0003415
1559391014,0.0003414
0688069711,0.0003393
0471515388,0.0003384
1581802366,0.0003377
0609609491,0.0003366
0967162440,0.0003362
0873379101,0.0003358
0446386367,0.0003355
0553274872,0.000333
0671621009,0.0003329
0750699035,0.0003317
0786887176,0.0003314
0761522131,0.000328
0393315703,0.0003272
0967162432,0.0003271
0142002364,0.0003271
0786880708,0.0003268
0743525159,0.0003257
1581800460,0.0003251
0960638881,0.0003244
0471436399,0.0003242
1576751740,0.0003234
048629899X,0.0003231
0938399101,0.000322
0764113992,0.0003217
0140286780,0.0003215
0140281916,0.0003213
0596000359,0.0003207
0761510575,0.0003204
0671745212,0.000319
1574101129,0.0003189
0201710382,0.0003185
0375407723,0.0003182
0767908864,0.0003181
0802138292,0.0003168
155738486X,0.0003166
0130957011,0.0003152
0553585975,0.0003151
0818403969,0.000315
0805061738,0.0003131
0948390530,0.0003129
0937611697,0.0003128
0737304243,0.0003125
0060932902,0.0003123
1555704026,0.0003123
0060652950,0.0003122
0070680345,0.0003118
0446673072,0.0003116
0691027641,0.0003111
0070511144,0.0003104
0452283248,0.0003104
0874778980,0.0003102
0679736042,0.0003098
1567181406,0.0003098
0139649581,0.0003097
0936965088,0.0003095
0553067966,0.0003092
0440506255,0.0003087
0887308244,0.0003086
1572180714,0.0003085
0879757051,0.0003079
1561705403,0.0003077
0971476993,0.0003069
0887309097,0.0003069
0425099733,0.0003068
0553374397,0.0003062
0809231581,0.0003061
0800785991,0.0003059
0062503995,0.0003056
1571741593,0.0003044
0802467997,0.0003041
0892818662,0.0003035
0070527261,0.0003033
0310236487,0.0003032
0684845776,0.000303
0875164269,0.0003023
0060520221,0.0003015
0471397296,0.0003012
1561705322,0.0003006
188327222X,0.0003004
0963865439,0.0003002
0312310846,0.0002995
0672316498,0.000299
1561703494,0.0002984
0446676683,0.0002981
1880115026,0.0002972
0399146709,0.0002961
0140436790,0.000296
0892814500,0.0002956
0764552775,0.0002954
0446385077,0.0002946
068480056X,0.0002932
1580910637,0.0002927
0609805363,0.0002924
0806523832,0.0002916
0195141628,0.0002911
1576752356,0.000291
0201700883,0.0002907
0062516329,0.0002904
0966797000,0.0002893
1581150989,0.0002892
0517415283,0.0002891
0679749861,0.000289
0385479506,0.000289
0060652934,0.0002883
0970643500,0.0002883
1564967743,0.0002883
0452275350,0.0002879
0684841460,0.0002875
0865714827,0.0002873
0553263900,0.0002873
0671701355,0.0002871
1891686038,0.0002871
0060932910,0.0002867
0451167228,0.0002865
0135853982,0.0002864
0070525587,0.0002863
0521284147,0.0002863
0471444936,0.0002858
0393321886,0.0002858
0786868414,0.0002855
0471225347,0.0002855
0767900340,0.0002854
1572242167,0.0002852
0875848346,0.0002847
0071362614,0.0002843
1572241985,0.0002843
006051471X,0.0002842
0814470726,0.0002839
068482471X,0.0002837
0875846327,0.0002836
0887308171,0.0002833
0471386308,0.0002827
0809224356,0.0002827
0471059706,0.0002823
076791029X,0.0002822
0764526413,0.0002821
0446528382,0.0002819
0446530867,0.0002816
0314257918,0.0002812
0671700758,0.0002809
0156329301,0.0002806
0070522359,0.0002802
0812932293,0.0002802
0786311312,0.0002793
0399528636,0.0002792
1565656296,0.0002785
0786864370,0.0002784
0465021212,0.0002782
0446314080,0.0002781
0553061771,0.0002774
0071362460,0.0002766
0140120904,0.0002762
1561840262,0.000276
0767904818,0.0002749
0060086270,0.0002747
0071363092,0.0002745
0201311453,0.0002738
1581602820,0.0002738
0573699216,0.0002731
0967499011,0.000273
0425104257,0.000273
0140235310,0.0002729
0465016154,0.0002723
0767909089,0.000272
038548254X,0.0002719
0262541157,0.0002718
1556524625,0.0002718
0785274308,0.0002715
0787955116,0.0002704
0553371835,0.0002698
0684848813,0.0002698
0141001895,0.0002696
0809058405,0.0002695
1572242205,0.0002692
1564144984,0.0002686
0787948039,0.0002684
0836280849,0.0002684
0887309836,0.0002682
0812933044,0.0002681
0070089973,0.0002677
0684801523,0.0002673
1567184995,0.0002663
0071411909,0.0002662
0142001104,0.0002659
0312958684,0.0002659
1562863282,0.0002659
0964595354,0.0002657
0449213315,0.0002656
081447795X,0.0002653
0385495927,0.0002648
0131000691,0.0002645
0786866578,0.0002642
0967187109,0.0002641
073520019X,0.0002641
1885167482,0.0002638
0743212347,0.0002634
0140296468,0.0002631
089879983X,0.0002631
0830819711,0.000263
0671657135,0.0002628
0395687187,0.0002624
020132797X,0.000262
0882791346,0.0002618
1585421162,0.0002613
0062516507,0.0002609
0060928972,0.0002609
0452270545,0.0002605
0895948389,0.0002601
0446531774,0.00026
019286212X,0.0002597
0029184673,0.0002595
0865713847,0.0002588
0071386262,0.0002584
0679763996,0.0002578
051509028X,0.0002577
0618335404,0.0002576
0743203151,0.0002573
0393324397,0.0002573
0743200403,0.0002569
0385029306,0.0002566
0071357246,0.0002566
0879803975,0.0002564
0553210092,0.0002564
1891686003,0.0002561
0028638352,0.000256
0761506160,0.0002557
0875165982,0.0002553
0385493223,0.0002552
0890899940,0.0002551
0767904842,0.0002546
0071360751,0.0002543
0684850419,0.0002542
0471359386,0.0002537
156860064X,0.0002535
0684811464,0.0002535
1561701688,0.0002532
0785263500,0.0002525
0684844419,0.0002525
0440507790,0.0002524
1558608702,0.0002519
0887306144,0.0002515
1581151993,0.0002514
0964191644,0.0002514
1572580143,0.0002511
0385483821,0.0002509
0321011473,0.0002507
1564143511,0.0002505
0963203401,0.0002505
0785264817,0.0002503
0446394998,0.0002501
0321127307,0.0002499
0875848842,0.0002498
0785274405,0.0002497
0060523794,0.0002496
0062516965,0.000249
0060653019,0.000249
0764102869,0.0002488
0140257314,0.0002485
0446675962,0.0002479
0764112945,0.0002477
014044095X,0.0002475
073820482X,0.0002471
0875163025,0.000247
0743529065,0.0002468
0814477186,0.0002468
0205360734,0.0002464
034537410X,0.0002457
0875420133,0.0002454
0130903272,0.0002454
0521627494,0.0002454
0312194668,0.0002447
0812210379,0.0002447
0738204412,0.0002447
0452265193,0.0002446
1578631505,0.0002445
1878424068,0.0002444
0262550423,0.0002439
0312271913,0.0002428
0399145419,0.0002423
0471237744,0.0002421
0875849105,0.000242
0385496680,0.0002418
0028642201,0.0002417
0837709121,0.0002413
0684855313,0.0002413
0658001353,0.0002412
1878901729,0.0002408
0767903005,0.0002406
0891348581,0.0002404
0070680396,0.00024
0679751114,0.0002395
0070246440,0.0002394
073551982X,0.0002393
0130165832,0.000239
0818405716,0.0002389
0671887173,0.0002385
0877282463,0.0002385
0380715775,0.0002384
081440765X,0.0002379
0842345523,0.0002376
0910924007,0.0002369
0671750186,0.0002368
020530902X,0.0002367
0915144867,0.0002361
0764552279,0.0002357
0671880748,0.0002355
0133036030,0.0002355
0029183308,0.0002352
0938716360,0.0002347
0970058705,0.0002346
0911226311,0.0002344
0793144337,0.0002343
0385502257,0.0002343
0875165060,0.0002342
140190131X,0.0002342
0515087378,0.0002338
0875163017,0.0002337
1581801467,0.0002335
1573920339,0.0002334
0964326191,0.0002333
0873377885,0.0002332
1561584118,0.0002331
0385472560,0.000233
0316600059,0.0002329
0679754938,0.0002327
0671671642,0.0002323
0679762698,0.0002319
0440507545,0.0002318
0967509912,0.0002317
067179437X,0.0002316
0875426638,0.0002315
0844203491,0.0002312
0312281544,0.0002311
0787955086,0.0002309
0130462152,0.0002309
0671733419,0.0002309
0130669970,0.0002308
0471295639,0.0002306
1581152744,0.0002305
0684834316,0.0002304
0553268147,0.0002304
0670031860,0.0002302
1568870205,0.0002301
0767903730,0.0002299
1578512549,0.0002297
0875848834,0.0002296
0140173188,0.0002294
0967205905,0.0002293
0399527494,0.000229
0443062617,0.0002289
0658001450,0.0002289
0787953105,0.0002285
0452281172,0.000228
0156007088,0.0002279
0380810336,0.0002276
0070653283,0.0002276
0471136174,0.0002276
091822635X,0.0002274
0440505003,0.0002273
1580174485,0.0002266
0793155614,0.0002262
0393322343,0.0002259
0785266666,0.0002257
0961320303,0.0002257
0070242674,0.0002253
0898621283,0.0002251
0451528123,0.0002249
0029117062,0.0002249
0380723743,0.0002247
0735710627,0.0002245
0967059844,0.0002242
0071379304,0.0002242
0415278449,0.0002241
1573227358,0.000224
0875421210,0.000224
0446674265,0.0002239
0156870118,0.0002238
0226320618,0.0002238
0446691437,0.0002235
0071357807,0.0002232
1572242582,0.0002231
0471527092,0.0002231
0060922583,0.000223
080078412X,0.0002222
0395700132,0.0002219
1561705357,0.0002219
0060081988,0.0002217
1576600351,0.0002217
0735202850,0.0002215
0875421261,0.0002212
1555520693,0.0002212
093871628X,0.0002212
0201703394,0.0002212
0071418717,0.0002212
0380807009,0.0002211
0750671637,0.000221
0226468011,0.0002204
0131001175,0.0002192
0874778379,0.0002186
1931866007,0.0002185
0449911640,0.0002183
0062501496,0.0002182
0785243038,0.0002174
1573921769,0.0002171
096787551X,0.000217
0684803313,0.000217
0967916208,0.0002169
0375705619,0.0002168
0738205141,0.0002164
0684838494,0.0002161
0749432187,0.0002161
0738703109,0.0002161
1857883039,0.0002157
047102466X,0.0002156
0679731148,0.000215
1580623026,0.000214
158180055X,0.000214
0060973358,0.000214
0876293577,0.0002139
0028741129,0.0002138
0070329338,0.0002132
1582341028,0.0002131
020172149X,0.0002129
0062503421,0.0002128
052180079X,0.0002128
031021467X,0.0002119
0446520942,0.0002114
0804831904,0.0002114
1567181414,0.0002114
0875847897,0.0002113
0399550003,0.0002112
0875844405,0.0002109
0062513710,0.0002105
0070610479,0.0002104
014019536X,0.0002104
0130411507,0.0002103
1569244979,0.0002102
0195142365,0.0002094
0688168507,0.0002091
0671739891,0.000209
0684846470,0.0002087
1556520727,0.0002086
002864168X,0.0002086
0071380396,0.0002084
0312954115,0.0002082
1568385048,0.0002081
0312144776,0.000208
0684841479,0.0002079
0674518586,0.0002079
0471370088,0.0002078
039370324X,0.0002075
0965967239,0.0002073
0310250005,0.0002069
0684835282,0.0002069
0070504776,0.0002065
0743525051,0.000206
0446529575,0.0002059
0449003612,0.0002058
1576751198,0.0002058
0385421311,0.0002056
0521357306,0.0002055
0941599191,0.0002053
0812931181,0.000205
0312284543,0.0002049
0679762884,0.0002049
0486277879,0.0002048
0874779766,0.0002048
1580624820,0.0002047
B000063TON,0.0002045
007137048X,0.0002044
1565075331,0.0002043
0875848036,0.0002043
1878424092,0.0002041
0310234697,0.000204
1569246297,0.0002039
0440507561,0.0002036
0875848974,0.0002035
0440202019,0.0002034
0761510001,0.0002032
0738703192,0.0002031
0679758569,0.0002028
0465056741,0.0002027
1885167296,0.0002025
0814478808,0.0002024
0201570483,0.0002023
0671797506,0.0002023
0471573302,0.0002023
0671708260,0.0002023
0142002488,0.0002021
0684811634,0.000202
0967206715,0.000202
0071362363,0.0002019
0140260404,0.0002016
0451174127,0.0002014
0452276853,0.0002012
1571740767,0.0002011
0553378589,0.000201
0072482567,0.0002009
0415222818,0.0002007
0071410945,0.0002006
0029113121,0.0002006
0785243631,0.0002002
0446670537,0.0002001
055329993X,0.0002001
1561703478,0.0002
0913543209,0.0001998
0935257012,0.0001997
0345423712,0.0001995
0966740017,0.0001995
0735200394,0.0001993
0910311641,0.0001992
0425099997,0.000199
0446670642,0.0001988
0060913916,0.0001988
0933291159,0.0001988
0786868163,0.0001986
0452266602,0.0001986
0399525408,0.0001986
076191269X,0.0001984
1572240229,0.0001984
0767900421,0.0001982
0385504454,0.0001981
1578511933,0.0001981
0312187572,0.0001979
0764554816,0.0001975
0875849385,0.0001974
0471291986,0.0001974
0887306152,0.0001973
0486255093,0.0001972
0060931159,0.000197
0875420486,0.0001968
1572242299,0.0001968
0875166105,0.0001966
0471430676,0.0001965
0966234138,0.0001964
0865475784,0.0001964
1561708291,0.0001962
0671761552,0.0001962
0312281188,0.0001961
0553281097,0.000196
0066620554,0.0001958
0684869683,0.0001957
0671885251,0.0001956
0671657860,0.0001953
0060971843,0.0001952
0805040978,0.0001952
1578511437,0.0001951
0312289774,0.0001948
157174102X,0.0001947
0787908703,0.0001946
0787903620,0.0001942
0029055156,0.0001939
079316799X,0.0001939
0786868236,0.0001939
0915035634,0.0001937
0894803123,0.0001937
1580622585,0.0001935
0671746219,0.0001935
0553379658,0.0001934
0822013185,0.0001933
1573240834,0.0001929
013979591X,0.0001926
0029001013,0.0001926
0761528172,0.0001922
0312199880,0.0001921
0787954810,0.0001921
0874777518,0.0001921
0865713596,0.0001919
0471382477,0.0001916
1561707295,0.0001915
0823023753,0.0001915
0060915870,0.0001911
0452278376,0.0001909
0071351825,0.0001908
0471144479,0.0001901
0553280384,0.0001901
0786868244,0.00019
0970214308,0.0001899
0761514406,0.0001899
0913543780,0.0001898
0273649167,0.0001897
0631231366,0.0001896
1402200552,0.0001896
0809247992,0.0001895
0967450659,0.0001894
0385262426,0.0001893
0060012781,0.0001891
0140126384,0.0001889
0130179647,0.0001888
0449911624,0.0001887
0875162045,0.0001887
0884151158,0.0001886
0380785080,0.0001885
0609800906,0.0001883
0743214285,0.0001883
0316180661,0.000188
0471578266,0.0001877
1558505113,0.0001877
0618219196,0.0001877
1580622054,0.0001877
0062503790,0.0001876
0375407731,0.0001876
0761521496,0.0001873
0452272041,0.0001871
0871319055,0.0001871
1888232005,0.0001871
088730995X,0.0001869
0895947811,0.0001869
0735712018,0.0001868
0553265008,0.0001865
0967875501,0.0001863
0738204307,0.0001863
0743462688,0.0001862
0062503642,0.0001861
0070062188,0.0001861
0060514922,0.0001858
0789723700,0.0001858
0385493231,0.0001857
0679768092,0.0001855
0471225800,0.0001855
0201626950,0.0001854
0375420797,0.0001853
0879804203,0.0001852
0875847382,0.0001846
0814479421,0.0001846
0679720200,0.0001843
0966002474,0.0001843
0684853108,0.0001842
0072441070,0.0001841
0071419721,0.0001836
0471159034,0.0001836
006251184X,0.0001835
1571742700,0.0001835
0071352872,0.0001834
0553343661,0.0001834
0140245227,0.0001833
0883781042,0.0001832
1573241776,0.0001832
1576750604,0.0001829
0894860658,0.0001828
0967098807,0.0001825
0740733370,0.0001825
093404113X,0.0001824
0887309585,0.0001823
0930323114,0.0001823
013026248X,0.0001822
0324071515,0.0001821
0814479359,0.000182
0809105543,0.000182
0142001902,0.0001819
0618127445,0.0001816
0764553410,0.0001815
0966773233,0.0001815
091122629X,0.0001814
0070248176,0.0001813
1564143961,0.0001813
002907990X,0.0001813
0380006766,0.0001812
1576750191,0.0001811
0761517529,0.0001811
006251783X,0.0001809
0240803744,0.0001807
1892123924,0.0001807
0787950165,0.0001805
1571743847,0.00018
0764550616,0.0001799
0316532681,0.0001797
0060955899,0.0001797
0961413506,0.0001797
0873648153,0.0001796
0875421903,0.0001794
1931468141,0.0001791
0966431200,0.000179
0895947366,0.0001789
0873642147,0.0001789
0887309135,0.0001788
0134106717,0.0001787
0787952028,0.0001787
1580083110,0.0001786
0879804351,0.0001785
0062515020,0.0001785
1569120501,0.0001784
0809225034,0.0001782
0130749214,0.0001781
0787955132,0.0001781
0743203224,0.0001779
1891279025,0.0001779
1568848684,0.0001778
0892819596,0.0001778
0070580561,0.0001778
0966132769,0.0001777
1578513332,0.0001776
1885167563,0.0001776
1879237237,0.0001775
0471361909,0.0001774
0821409700,0.0001774
0961413514,0.0001774
0345407288,0.0001769
0743526589,0.0001766
0898154081,0.0001766
0891348573,0.0001765
0553375407,0.0001764
0671872761,0.0001762
0879754249,0.0001762
0062513796,0.0001761
0684827085,0.000176
0130289221,0.000176
0735202869,0.000176
0521566274,0.0001759
1576751244,0.0001758
0716752379,0.0001757
0072482591,0.0001756
0844232424,0.0001756
157675006X,0.0001755
0060938463,0.0001752
0201770369,0.0001751
094839059X,0.0001749
1578561256,0.0001748
1585420743,0.0001747
0609805797,0.0001745
0609809091,0.0001744
0915132370,0.0001744
1585421790,0.0001741
0486275639,0.0001739
0874779928,0.0001738
0875165575,0.0001738
0471126500,0.0001732
1581602626,0.000173
0060632313,0.000173
0449207862,0.0001729
0684831465,0.0001724
1559770295,0.0001724
0425150755,0.0001723
1857883020,0.0001719
0814471234,0.0001719
068487170X,0.0001718
1578511429,0.0001718
0226467759,0.0001718
0844232432,0.0001717
0688094554,0.0001717
0800757106,0.0001716
0830822208,0.0001716
0787947954,0.0001714
0735710740,0.0001711
0553375490,0.000171
1558605827,0.0001709
038072572X,0.0001708
1561794643,0.0001701
1580627943,0.0001701
093689489X,0.00017
0520054539,0.0001698
091581109X,0.0001698
1572241950,0.0001697
0471119601,0.0001696
0312964137,0.0001695
0465051596,0.0001694
0743228626,0.0001693
0140441921,0.0001692
0133033899,0.0001692
0070240205,0.000169
1571741402,0.0001689
1576751538,0.0001687
0130262781,0.0001687
0875421296,0.0001686
0517123207,0.0001684
0860916464,0.0001684
0465069347,0.0001683
0764116622,0.0001682
0942061411,0.0001682
0375725121,0.0001679
0879800232,0.0001679
0875421318,0.0001677
1582341036,0.0001676
0764550632,0.0001675
038549517X,0.0001674
0130090565,0.0001674
0452269350,0.0001672
0786887117,0.0001671
1572241381,0.0001671
0071360530,0.0001671
1565845080,0.0001671
0842321845,0.000167
0425111709,0.0001669
0671519980,0.0001669
0735712506,0.0001668
0764552570,0.0001667
1891984144,0.0001667
0553343874,0.0001667
0385499841,0.0001667
038549369X,0.0001666
0440507189,0.0001661
0801063671,0.0001661
0684800500,0.000166
0130090255,0.0001658
0786865237,0.0001658
0805072675,0.0001658
0201622408,0.0001657
0312285191,0.0001656
0887308635,0.0001656
0198782519,0.0001656
0135412110,0.0001655
0793159636,0.0001654
1562924885,0.0001653
0735200890,0.0001653
0787963941,0.0001652
0767904524,0.0001652
188603933X,0.000165
1585420875,0.000165
1570715343,0.000165
0060652381,0.0001649
0399523820,0.0001649
0553573136,0.0001649
0672321513,0.0001645
0028626303,0.0001644
0452264189,0.0001644
0471000604,0.0001644
0684856093,0.0001643
0671739166,0.0001642
0486277909,0.0001641
0061319759,0.000164
0887308856,0.000164
0394756347,0.000164
0449911500,0.0001639
1580631134,0.0001638
0517605252,0.0001638
1878424076,0.0001637
0029190908,0.0001636
0891415637,0.0001631
068480302X,0.000163
0875421830,0.000163
0688142273,0.0001629
0446386391,0.0001629
044050564X,0.0001628
0446673714,0.0001628
0375700188,0.0001628
0890897603,0.0001628
1559948752,0.0001627
0312143427,0.0001626
0743455967,0.0001626
0471410144,0.0001622
0764550349,0.0001622
0486408930,0.0001621
0465071384,0.0001621
031224665X,0.0001621
0029184657,0.000162
0962088110,0.0001617
087584877X,0.0001616
0871401622,0.0001616
0823056201,0.0001616
0814405452,0.0001615
0684863758,0.0001615
0844231010,0.0001614
0684847434,0.0001613
0671674323,0.0001613
0471225819,0.0001612
0786868686,0.0001612
0385265425,0.0001612
0446531502,0.0001611
0814471773,0.0001611
0071409998,0.000161
1572240938,0.0001609
0060934484,0.0001608
0805056491,0.0001608
0964988801,0.0001607
038549162X,0.0001607
0787958476,0.0001606
0425175014,0.0001605
1576750310,0.0001604
087877050X,0.0001601
0814470939,0.0001601
0875164838,0.0001599
1883219752,0.0001599
0688147631,0.0001599
0877849455,0.0001597
0449215431,0.0001597
0609608398,0.0001596
0312278209,0.0001595
0873646355,0.0001595
0932194400,0.0001595
0684857073,0.0001594
0517881640,0.0001594
1565547063,0.0001594
0814479200,0.0001593
1571742212,0.0001592
1564146758,0.0001591
0451625854,0.0001591
140190033X,0.0001591
0066620686,0.000159
0486299880,0.0001589
0735710732,0.0001589
1576833097,0.0001589
1580627714,0.0001589
1891279041,0.0001589
0963266713,0.0001588
1564968375,0.0001588
0140264450,0.0001587
0471409154,0.0001586
0688179061,0.0001585
078796378X,0.0001585
0787948047,0.0001584
0449223256,0.0001584
1564145581,0.0001584
0785271007,0.0001582
1583762051,0.0001581
0226468046,0.0001581
1886669090,0.000158
0130783862,0.000158
0787909386,0.000158
0879804475,0.000158
0131759477,0.0001579
0452275644,0.0001577
0192804561,0.0001576
031287782X,0.0001576
0735203512,0.0001575
